activity_id,deal_id,user_id,activity_type,kpi_name,is_done,activity_at
100063,415914,1745,meeting,Sales Call 1,t,2024-08-09 17:05:05
100179,160655,216,follow_up,Follow Up Call,t,2024-05-29 16:08:28
100232,287740,347,sc_2,Sales Call 2,t,2024-01-18 09:15:57
100395,535088,98,after_close_call,After Close Call,f,2024-08-06 20:52:41
100545,938135,1258,meeting,Sales Call 1,f,2024-06-06 03:27:09
100546,444192,1672,after_close_call,After Close Call,t,2024-06-22 17:43:06
100591,143786,1491,follow_up,Follow Up Call,f,2024-09-08 09:30:56
100624,913706,25,sc_2,Sales Call 2,t,2024-01-27 21:37:15
100647,294234,1564,meeting,Sales Call 1,t,2024-08-12 07:31:40
100720,405999,986,meeting,Sales Call 1,f,2024-08-28 07:07:54
100802,295429,1496,follow_up,Follow Up Call,t,2024-08-25 00:57:35
101373,718488,1156,sc_2,Sales Call 2,t,2024-01-27 22:23:22
101381,238536,1056,follow_up,Follow Up Call,f,2024-01-02 11:41:03
101517,171848,1741,sc_2,Sales Call 2,t,2024-02-29 20:37:51
101613,947257,518,after_close_call,After Close Call,f,2024-02-28 06:01:21
101820,173127,832,meeting,Sales Call 1,f,2024-08-11 11:42:03
102081,182466,281,sc_2,Sales Call 2,t,2024-03-13 03:11:32
102576,767082,150,sc_2,Sales Call 2,t,2024-06-15 13:11:46
102788,202822,1672,after_close_call,After Close Call,t,2024-01-10 23:46:13
103247,923108,1234,sc_2,Sales Call 2,t,2024-02-02 09:29:24
103263,320308,852,sc_2,Sales Call 2,t,2024-06-16 01:34:59
103285,404959,1527,sc_2,Sales Call 2,f,2024-04-16 02:09:40
103297,301181,366,after_close_call,After Close Call,f,2024-05-24 00:52:50
103719,409809,889,follow_up,Follow Up Call,f,2024-05-05 22:47:44
104529,983282,887,sc_2,Sales Call 2,f,2024-03-06 21:47:37
104544,379754,1681,sc_2,Sales Call 2,t,2024-05-20 22:56:35
104664,155150,1488,after_close_call,After Close Call,f,2024-09-12 05:02:54
105116,651116,956,follow_up,Follow Up Call,t,2024-06-18 04:30:14
105156,643609,670,follow_up,Follow Up Call,f,2024-03-13 14:12:58
105597,458491,669,meeting,Sales Call 1,f,2024-02-12 03:20:57
105709,575805,1407,after_close_call,After Close Call,t,2024-01-13 11:01:32
105870,911094,366,sc_2,Sales Call 2,t,2024-07-23 11:44:32
106443,722770,284,sc_2,Sales Call 2,f,2024-03-24 05:42:00
106608,235766,1167,follow_up,Follow Up Call,f,2024-08-18 01:47:51
107276,393640,1643,after_close_call,After Close Call,f,2024-08-24 05:57:46
107340,331765,1285,sc_2,Sales Call 2,t,2024-02-13 03:52:57
107588,969233,727,sc_2,Sales Call 2,t,2024-06-03 09:24:16
107961,355854,1621,meeting,Sales Call 1,t,2024-07-25 05:43:36
107966,950107,430,after_close_call,After Close Call,t,2024-01-05 02:35:42
108423,203356,630,after_close_call,After Close Call,t,2024-08-25 17:40:41
108600,935862,220,after_close_call,After Close Call,t,2024-01-27 08:17:13
108696,214973,437,meeting,Sales Call 1,f,2024-09-12 01:48:57
109928,358521,374,follow_up,Follow Up Call,t,2024-07-06 07:51:59
110002,558366,1743,after_close_call,After Close Call,f,2024-05-12 06:21:28
